"MJD" "Flux" "Error"
56705.98349 3.5269747 0.046476835
56707.72484 3.3630616 0.043915898
56709.05905 3.327837 0.05953685
56709.60093 3.207584 0.04976951
56709.66304 3.2232348 0.050869855
56710.13204 3.0202 0.046477926
56710.51855 3.140145 0.05052992
56710.85316 2.9603503 0.051763507
56711.58815 3.0120756 0.046141696
56712.72338 2.9322922 0.04819467
56713.00582 2.979866 0.047006607
56713.45351 2.945579 0.048789537
56713.72041 3.0060322 0.047446005
56714.00523 2.9508595 0.048431147
56714.53715 2.9305185 0.04773622
56716.53359 2.6442226 0.043751523
56717.86262 2.5076317 0.03875033
56718.13228 2.3939543 0.040909526
56719.20537 2.5007028 0.03987347
56719.59448 2.4897558 0.04433693
56719.87087 2.460924 0.03803482
56720.1323 2.3187549 0.040238594
56720.46216 2.3870734 0.038313243
56720.87514 2.3079313 0.036460078
56721.06362 2.2456163 0.039342783
56721.8651 2.2170766 0.036471007
56722.33716 2.1615972 0.038379124
56722.60625 2.2053194 0.037350005
56722.93783 2.2249565 0.036377916
56723.38908 2.1573026 0.037306806
56723.94293 2.196493 0.036379438
56724.06295 2.1668361 0.037798967
56724.32273 2.1933364 0.0390912
56724.66192 2.1825195 0.03740978
56724.78982 2.162979 0.037269595
56725.1323 2.2307832 0.038365905
56725.52257 2.2236846 0.041805155
56725.80542 2.2008369 0.034436368
56726.53252 2.216774876 0.027250756
56726.80448 2.2038528 0.034061402
56727.00494 2.2599063 0.040018545
56727.33974 2.2751185 0.038245446
56728.07456 2.1916986 0.03631692
56728.33973 2.2631765 0.036019425
56729.13679 2.309659 0.038196588
56729.53074 2.3299078 0.039386246
56729.86759 2.3530111 0.037098516
56730.12786 2.3236265 0.036503425
56730.45773 2.3722777 0.03705323
56730.86132 2.3166341 0.034867696
56731.12519 2.3730814 0.03742713
56731.54004 2.3599525 0.038055938
56731.86574 2.3312132 0.03565073
56732.21002 2.3773111 0.037373383
56732.47398 2.3201391 0.03647959
56732.72538 2.3117687 0.035140168
56733.06899 2.2792452 0.036682668
56733.46526 2.3257112 0.03647937
56733.73173 2.4316197 0.035260976
56734.00576 2.3933756 0.0386772
56734.39092 2.5398832 0.040928828
56734.79198 2.5929628 0.03774507
56735.13226 2.6173764 0.040932944
56735.79224 2.8553887 0.04173919
56736.05766 2.8607897 0.044762107
56736.39091 3.0240127 0.04669329
56737.00494 3.0706418 0.04996279
56737.39133 2.985268 0.04908343
56737.72525 3.0858766 0.04534502
56738.00712 3.1283793 0.05144471
56738.39129 3.218357 0.04989766
56738.72533 3.224629 0.04697667
56739.07841 3.3137152 0.05323837
56739.47611 3.4464432 0.050515203
56739.8114 3.4896192 0.050543795
56740.01175 3.501752 0.052260255
56740.40721 3.4885204 0.0528088
56740.81171 3.501821 0.05147043
56741.00525 3.5207423 0.055366086
56741.39089 3.61813 0.053503276
56741.7252 3.5599426 0.051106823
56742.20959 3.738814 0.0582456
56742.45818 3.745764 0.054292917
56742.86523 3.7402254 0.05252447
56743.00545 3.7115747 0.055659594
56743.93908 3.853290471 0.036521205
56744.00553 3.9277944 0.05646292
56744.87156 3.9330115 0.0602613
56745.07529 3.9962937 0.05982679
56745.39612 3.975916 0.059583236
56745.73321 3.923532 0.056687436
56746.0669 3.9945068 0.06014529
56746.39166 4.0328963 0.05901452
56746.79138 4.077565 0.061372577
56747.19097 4.1632733 0.06051622
56747.52431 4.0594403 0.059308426
56748.00479 4.0596507 0.064424315
56748.59146 3.9446006 0.05634291
56748.8684 3.9628274 0.05680401
56749.00495 3.9931444 0.06112905
56749.94523 3.9305463 0.056450685
56750.07046 3.9457712 0.058835014
56751.05937 3.7897243 0.05801521
56751.53058 3.7746736 0.057191236
56752.12675 3.6313824 0.057682674
56752.52928 3.4943555 0.052672987
56752.85843 3.400858 0.05162436
56753.19549 3.2500156 0.052911316
56753.40522 3.2433806 0.04711824
